298.06	367.2	1.917
303.12	376.6	2.725
303.12	376.6	2.725
308.18	383.1	1.99
313	393.8	2.532
318.06	403	2.329
323.12	411.3	2.924
328.18	426.5	2.201
333	436.8	3.559
338.06	444.8	3.1
343.12	457.9	3.204
348.18	470.1	3.058
353.24	485.2	3.447
358.06	500.2	3.461
363.12	519.2	3.391
368.18	536.4	3.939
378.1	584.4	3.616
383.1	609.6	3.997
388.2	646.9	4.266
393	690.9	4.25
398.1	745.2	4.729
403.1	812	4.774
408.2	894.6	5.22
413.2	1038	5.519
418.1	1209	6.1
423.1	1481	6.765
428.2	1813	7.244
433.2	2182	7.759
438.1	2496	8.089
443.1	2795	8.023999
448.2	3083	7.826
453.2	3300	7.481
458.1	3524	7.007
463.1	3746	6.435
468.2	3914	5.783
473	4050	4.935
478.1	4161	4.309
483.1	4248	3.598
488.2	4302	3.007
493	4322	2.381
498.1	4326	1.971
503.1	4302	1.708
508.2	4263	1.448
513.2	4213	1.256
518.1	4148	1.134
523.1	4071	1.083
528.2	3991	1.105
533	3914	1.202
538.1	3825	1.153
543.1	3729	1.261
548.2	3637	1.455
553	3533	1.498
558.1	3439	1.71
563.1	3337	1.938
568.2	3231	2.392
573.2	3124	2.672
578.1	3029	3.018
583.1	2918	3.385
588.2	2809	3.955
593	2706	4.55
598.1	2602	5.128
603.1	2507	6.015
608.2	2400	7.188
613	2303	8.704
618.1	2205	11
623.1	2103	13.75
628.2	2015	17.39
633	1932	21.54
638.1	1848	27.45
643.1	1764	34.33
648.2	1693	42.38
653	1626	51.02
658.1	1564	60.87
663.1	1504	71.81
668.2	1452	84.39
673	1403	96.98
678.1	1353	111.7
683.1	1310	126.2
688.2	1269	141.1
693.2	1229	155.5
698.1	1199	167.8
703.1	1168	181.1
708.2	1133	194.2
713	1105	207.3
718.1	1079	219.7
723.1	1049	235.9
728.2	1011	260.6
733	989.9	285
738.1	965.2	319.5
743.1	946.7	361.4
748.2	931.9	404.7
753	913.5	456.2
758.1	896.8	516.1
763.1	885.8	579.6
768.2	872.8	650.4
773	858	728.7
778.1	845.1	820.4
783.1	834	915.8
788.2	824.8	1019
793	815.6	1128
798.1	815.6	1235
803.1	806.3	1370
808.2	800.8	1516
813	800.8	1655
818.1	798.9	1820
823.1	797.1	2000
828.2	793.4	2183
833	795.2	2364
838.1	798.9	2565
843.1	804.5	2762
848.2	813.7	2981
853	811.9	3239
858.1	813.7	3500
863.1	824.8	3770
868.2	885.8	3830
873	904.2	4034
