298.06	832.9	8.359
303.12	877.1	8.561
303.12	877.1	8.561
308.18	927.5	8.758
313	977.6	9.009
318.06	1031	9.167
323.12	1088	9.259
328.18	1146	9.294001
333	1201	9.297
338.06	1257	9.287
343.12	1323	9.215
348.18	1380	9.129
358.06	1504	8.877
363.12	1571	8.61
368.18	1631	8.374001
373	1694	8.164
378.1	1758	7.827
383.1	1821	7.54
388.2	1885	7.21
393	1945	6.864
398.1	2002	6.517
403.1	2063	6.142
408.2	2116	5.761
413.2	2168	5.42
418.1	2214	5.107
423.1	2258	4.796
428.2	2298	4.488
433.2	2338	4.177
438.1	2369	3.922
443.1	2398	3.633
448.2	2421	3.371
453.2	2439	3.137
458.1	2453	2.855
463.1	2461	2.637
468.2	2464	2.384
473	2462	2.164
478.1	2455	1.962
483.1	2441	1.721
488.2	2423	1.522
493	2401	1.337
498.1	2374	1.151
503.1	2341	1.007
508.2	2305	0.8446
513.2	2264	0.7243
518.1	2221	0.6459
523.1	2180	0.564
528.2	2133	0.5125
533	2084	0.4588
538.1	2035	0.4532
543.1	1984	0.4821
548.2	1932	0.5303
553	1883	0.6167
558.1	1834	0.6891
563.1	1780	0.8057
568.2	1730	0.9081001
573.2	1681	1.077
578.1	1633	1.213
583.1	1583	1.337
588.2	1534	1.469
593	1485	1.632
598.1	1440	1.802
603.1	1395	1.958
608.2	1349	2.127
613	1308	2.375
618.1	1266	2.536
623.1	1225	2.731
628.2	1186	2.993
633	1153	3.226
638.1	1119	3.508
643.1	1086	3.711
648.2	1054	3.982
653	1026	4.224
658.1	996	4.558
663.1	967	4.977
668.2	939.1	5.488
673	911.6	6.065
678.1	886.3	6.662
683.1	862.3	7.402
688.2	838.2	8.224
693.2	815	9.212
698.1	794.2	10.27
703.1	773.2	11.48
708.2	752.3	12.97
713	733.2	14.43
718.1	713.7	16.21
723.1	695.5	18.2
728.2	677.6	20.39
733	660.7	22.72
738.1	642.6	25.53
743.1	626.8	28.74
748.2	612.6	32.91
753	601.4	37.15
758.1	591.1	42.24
763.1	581.7	48.15
768.2	573.1	54.58
773	566.4	60.94
778.1	559.3	68.3
783.1	552.7	76.65
788.2	546	86.14
793	539.6	96.01
798.1	532.7	107.7
803.1	525.6	120.3
808.2	518.8	134
813	511.7	149
818.1	503.7	167.3
823.1	495.4	187.2
828.2	487.4	209.3
833	478.6	234.4
838.1	470.9	261.7
843.1	463.4	292.6
848.2	455	327.8
853	448.1	364.1
858.1	441.5	406.9
863.1	434.6	452.6
868.2	428.6	502.7
873	423.7	554.8
